DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
CASANARE,AGUAZUL,1423,2024,05,3721001,0,5,0,0,0,0,0,0
BOYACA,CHIQUINQUIRA,1423,2024,05,3612001,12,0,0,0,0,0,0,0
MAGDALENA,SABANAS DE SAN ANGEL,1423,2024,05,1970001,0,0,0,0,0,0,0,0
SAN ANDRES,PROVIDENCIA,1423,2024,05,3869201,0,1,0,0,0,0,0,0
SANTANDER,PUERTO PARRA,1423,2024,05,1829902,0,1,0,0,0,0,0,0
CORDOBA,PLANETA RICA,1423,2024,05,2750001,2,0,0,0,0,0,0,0
PUTUMAYO,PUERTO CAICEDO,1423,2024,05,1466301,4,0,0,0,0,0,0,0
CESAR,VALLEDUPAR,1423,2024,05,3492301,14,0,0,0,0,0,0,0
VALLE DEL CAUCA,PALMIRA,1423,2024,05,2014901,8,0,0,0,0,0,0,0
PUTUMAYO,PUERTO ASIS,1423,2024,05,4466301,5,0,0,0,0,0,0,0
PUTUMAYO,SAN MIGUEL,1423,2024,05,5421001,1,0,0,0,0,0,0,0
BOGOTA,"BOGOTA, D.C.",1423,2024,05,5900501,3,0,0,0,0,0,0,0
CUNDINAMARCA,CAJICA,1423,2024,05,2465902,6,0,0,0,0,0,0,0
CUNDINAMARCA,GAMA,1423,2024,05,3612001,5,0,0,0,0,0,0,0
ANTIOQUIA,GUATAPE,1423,2024,05,5421001,30,0,0,0,0,0,0,0
NARIÑO,IPIALES,1423,2024,05,3466501,7,0,0,0,0,0,0,0
BOYACA,ARCABUCO,1423,2024,05,1466401,5,0,0,0,0,0,0,0
QUINDIO,MONTENEGRO,1423,2024,05,3561901,27,0,0,0,0,0,0,0
SANTANDER,BUCARAMANGA,1423,2024,05,2151201,4,0,0,0,0,0,0,0
ANTIOQUIA,CAREPA,1423,2024,05,1649201,3,0,0,0,0,0,0,0
BOGOTA,"BOGOTA, D.C.",1423,2024,05,3108902,23,0,0,0,0,0,0,0
CUNDINAMARCA,GUAYABETAL,1423,2024,05,1852101,0,0,0,0,0,0,0,0
ANTIOQUIA,PUERTO BERRIO,1423,2024,05,1661901,39,0,0,0,0,0,0,0
CHOCO,ISTMINA,1423,2024,05,2466301,16,0,0,0,0,0,0,0
CORDOBA,LORICA,1423,2024,05,3492301,0,0,0,0,0,0,0,0
CAUCA,PIENDAMO,1423,2024,05,1823001,0,0,0,0,0,0,0,0
ATLANTICO,SABANALARGA,1423,2024,05,5161001,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,CANDELARIA,1423,2024,05,4466301,7,0,0,0,0,0,0,0
VALLE DEL CAUCA,PALMIRA,1423,2024,05,5432901,27,0,0,0,0,0,0,0
BOLIVAR,MAGANGUE,1423,2024,05,1464501,0,0,0,0,0,0,0,0
CUNDINAMARCA,VILLETA,1423,2024,05,3869101,0,0,0,0,0,0,0,0
BOYACA,RAMIRIQUI,1423,2024,05,3108101,0,0,0,0,0,0,0,0
META,PUERTO RICO,1423,2024,05,3861001,21,93,0,0,0,0,0,0
SANTANDER,FLORIDABLANCA,1423,2024,05,3382101,6,20,0,0,0,0,0,0
SANTANDER,GIRON,1423,2024,05,5432901,2,0,0,0,0,0,0,0
ANTIOQUIA,SABANETA,1423,2024,05,2521001,10,0,0,0,0,0,0,0
SANTANDER,BARRANCABERMEJA,1423,2024,05,2553001,7,0,0,0,0,0,0,0
N. DE SANTANDER,CUCUTA,1423,2024,05,5431202,8,0,0,0,0,0,0,0
QUINDIO,ARMENIA,1423,2024,05,1475101,15,1,0,0,0,0,0,0
BOGOTA,"BOGOTA, D.C.",1423,2024,05,1852201,461,45,0,0,0,0,0,0
CAUCA,GUAPI,1423,2024,05,5421001,0,0,0,0,0,0,0,0
MAGDALENA,ZONA BANANERA,1423,2024,05,1970001,10,0,0,0,0,0,0,0
CUNDINAMARCA,ZIPAQUIRA,1423,2024,05,1642401,14,0,0,0,0,0,0,0
BOYACA,SOCHA,1423,2024,05,1681001,1,0,0,0,0,0,0,0
SANTANDER,SUAITA,1423,2024,05,2014101,1,0,0,0,0,0,0,0
CUNDINAMARCA,CUCUNUBA,1423,2024,05,2014401,7,0,0,0,0,0,0,0
BOGOTA,"BOGOTA, D.C.",1423,2024,05,4131101,112,0,0,0,0,0,0,0
BOYACA,TUNJA,1423,2024,05,2104001,12,0,0,0,0,0,0,0
BOLIVAR,MORALES,1423,2024,05,1949901,5,0,0,0,0,0,0,0
BOYACA,VIRACACHA,1423,2024,05,3360001,4,0,0,0,0,0,0,0
CUNDINAMARCA,TABIO,1423,2024,05,2014501,14,0,0,0,0,0,0,0
SANTANDER,PIEDECUESTA,1423,2024,05,1949101,33,0,0,0,0,0,0,0
