DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
SANTANDER,PINCHOTE,1423,2024,9,5411101,0,0,0,0,0,0,0,0
CUNDINAMARCA,TOCANCIPA,1423,2024,9,2821101,0,0,0,0,0,0,0,0
N. DE SANTANDER,LA ESPERANZA,1423,2024,9,1829902,0,1,0,0,0,0,0,0
ANTIOQUIA,COPACABANA,1423,2024,9,4161001,11,0,0,0,0,0,0,0
CASANARE,PAZ DE ARIPORO,1423,2024,9,3106201,0,0,0,0,0,0,0,0
HUILA,AGRADO,1423,2024,9,1829902,0,1,0,0,0,0,0,0
ANTIOQUIA,LA CEJA,1423,2024,9,2773005,9,0,0,0,0,0,0,0
ANTIOQUIA,SANTO DOMINGO,1423,2024,9,1477301,2,0,0,0,0,0,0,0
RISARALDA,BELEN DE UMBRIA,1423,2024,9,2471901,5,0,0,0,0,0,0,0
CUNDINAMARCA,SOPO,1423,2024,9,1852201,128,0,0,0,0,0,0,0
ANTIOQUIA,SABANETA,1423,2024,9,2742001,2,0,0,0,0,0,0,0
VALLE DEL CAUCA,PALMIRA,1423,2024,9,3492301,1,0,0,0,0,0,0,0
SANTANDER,BUCARAMANGA,1423,2024,9,2139201,8,1,0,0,0,0,0,0
BOYACA,CUCAITA,1423,2024,9,3466101,4,0,0,0,0,0,0,0
PUTUMAYO,VALLE DEL GUAMUEZ,1423,2024,9,2862102,0,0,0,0,0,0,0,0
CAUCA,SILVIA,1423,2024,9,1949901,0,0,0,0,0,0,0,0
PUTUMAYO,SANTIAGO,1423,2024,9,2014901,0,0,0,0,0,0,0,0
CHOCO,ISTMINA,1423,2024,9,3861001,79,39,0,0,0,0,0,0
ANTIOQUIA,LA PINTADA,1423,2024,9,2014101,12,0,0,0,0,0,0,0
TOLIMA,IBAGUE,1423,2024,9,1463102,57,0,1,1,1,0,0,0
SANTANDER,FLORIDABLANCA,1423,2024,9,3869101,3,0,0,0,0,0,0,0
CUNDINAMARCA,FUSAGASUGA,1423,2024,9,3222901,12,0,0,0,0,0,0,0
